file_type,status,path
conversation_guide,no_frontmatter,platform/cms/accelerated_publishing/ux_research/research_plan.md
conversation_guide,no_frontmatter,platform/cms/research/alt text/conversation-guide.md
research_plan,no_frontmatter,platform/cms/research/alt text/research-plan.md
research_plan,no_frontmatter,platform/cms/research/knowledge-base/research-plan.md
research_plan,complete,platform/research/copilot-prompts/research-planning/conversation-guide-frontmatter-completion-prompt.md
research_plan,complete,platform/research/copilot-prompts/research-planning/research-plan-frontmatter-completion-prompt.md
conversation_guide,no_frontmatter,platform/research/copilot-prompts/research-review/conversation-guide-analysis-prompt.md
research_plan,no_frontmatter,platform/research/copilot-prompts/research-review/research-plan-analysis-prompt.md
conversation_guide,no_frontmatter,platform/research/merger/may-2018/conversation-guide.md
conversation_guide,no_frontmatter,platform/research/planning/conversation-guide-new-observer-process.md
conversation_guide,complete,platform/research/planning/conversation-guide-template.md
research_plan,no_frontmatter,platform/research/research-plan-frontmatter-completion-guide.md
research_plan,has_placeholder,platform/research/research-plan-template.md
conversation_guide,complete,products/21-2680/research/2026-02-medical-provider-research/conversation-guide.md
research_plan,complete,products/21-2680/research/2026-02-medical-provider-research/research-plan.md
conversation_guide,complete,products/Debt Resolution/Financial-Status-Report/research/mar-2021/conversation-guide.md
research_plan,complete,products/Debt Resolution/Financial-Status-Report/research/mar-2021/research-plan.md
conversation_guide,complete,products/Debt Resolution/Medical_Copays/research/apr-2021/conversation-guide.md
research_plan,complete,products/Debt Resolution/Medical_Copays/research/apr-2021/research-plan.md
conversation_guide,complete,products/Debt Resolution/Medical_Copays/research/jun-2021/conversation-guide.md
research_plan,complete,products/Debt Resolution/Medical_Copays/research/jun-2021/research-plan.md
conversation_guide,complete,products/Debt Resolution/Medical_Copays/research/uat-nov-2021/conversation-guide.md
research_plan,complete,products/Debt Resolution/Medical_Copays/research/uat-nov-2021/research-plan.md
conversation_guide,complete,products/Debt Resolution/one_va_debt_letter/mobile/conversation-guide.md
research_plan,complete,products/Debt Resolution/one_va_debt_letter/mobile/research-plan.md
conversation_guide,complete,products/Debt Resolution/pay.gov/Pay.gov for Benefit Overpayment Debt Payments/research/conversation-guide.md
research_plan,complete,products/Debt Resolution/pay.gov/Pay.gov for Benefit Overpayment Debt Payments/research/research-plan.md
conversation_guide,complete,products/accredited-representation-management/research/2023-11-ARM-findarep-nav-usertest/conversation-guide.md
research_plan,complete,products/accredited-representation-management/research/2023-11-ARM-findarep-nav-usertest/research-plan.md
conversation_guide,complete,products/accredited-representation-management/research/2024-01-ARM-appointarep-usertest/conversation-guide.md
research_plan,complete,products/accredited-representation-management/research/2024-01-ARM-appointarep-usertest/research-plan.md
conversation_guide,complete,products/accredited-representation-management/research/2024-02-appointarep-unauth-usertest/conversation-guide.md
research_plan,complete,products/accredited-representation-management/research/2024-02-appointarep-unauth-usertest/research-plan.md
conversation_guide,complete,products/accredited-representation-management/research/2024-03-ARM-findarep-live-usertest/conversation-guide.md
research_plan,complete,products/accredited-representation-management/research/2024-03-ARM-findarep-live-usertest/research-plan.md
conversation_guide,complete,products/accredited-representation-management/research/2024-06-ARM-appointarep-digitalsubmit-usertest/conversation-guide.md
research_plan,complete,products/accredited-representation-management/research/2024-06-ARM-appointarep-digitalsubmit-usertest/research-plan.md
conversation_guide,complete,products/accredited-representation-management/research/2024-08-ARM-appointarep-crossaccreditedVSOR-usertest/conversation-guide.md
research_plan,complete,products/accredited-representation-management/research/2024-08-ARM-appointarep-crossaccreditedVSOR-usertest/research-plan.md
conversation_guide,complete,products/accredited-representation-management/research/2024-10-VSO-VAbenefits-interviews/conversation-guide.md
